categories_id;parent_id;categories_level;categories_name
2232;2214;3;Dresses
2233;2214;3;Leggings
2234;2214;3;T-shirts
2235;2215;3;T-shirts
2236;2215;3;Hoodies
2237;2215;3;Shorts
2238;2215;3;Crewnecks
2239;2215;3;Sweatpants
2240;2153;2;T-shirts
2241;2153;2;Crewnecks
2242;2153;2;Sweatpants
2243;2153;2;Tank Tops
2244;2153;2;Sweatsuit
2245;2153;2;Pants
2246;2153;2;Hoodies
2247;2153;2;ZIP Hoodies
2248;154;2;Accessoires
2249;154;2;T-shirts
2250;154;2;Hoodies
2251;154;2;Crewnecks
2252;2253;3;Sweatpants
2253;364;2;Ladies
2254;364;2;Accessoires
2255;364;2;Kids
2256;2253;3;Dresses
2257;2253;3;T-shirts
2258;364;2;Men
2259;2258;3;Hoodies
2260;2258;3;T-shirts
2261;2253;3;Swimwear
2262;2253;3;Hoodies
2263;2253;3;Hotpants & Tops
2264;2253;3;ZIP Hoodies
2265;364;2;Multipacks
2266;2265;3;Socks
2267;2265;3;Apparel
2268;364;2;Flexfit
2269;2258;3;Jackets
2270;2258;3;Crewnecks
2271;2258;3;ZIP Hoodies
2272;2265;3;Boxershorts
2273;2258;3;Sweatpants
2274;2258;3;Shorts
2275;2253;3;Jackets & Cardigans
2276;2258;3;Longsleeves
2277;2253;3;Bodys
2278;2253;3;Longsleeves & Crewnecks
2279;335;2;Urban Classics
2280;2279;3;Masks
2281;2282;3;Multipacks
2282;335;2;Mister Tee
2283;2282;3;Masks
2284;2279;3;Multipacks
2285;335;2;Flexfit
2286;67;3;Headwear
2287;67;3;Belts
2288;67;3;Jewelry
2289;67;3;Socks
2290;67;3;Gadgets
2291;67;3;Gloves/Scarves
2292;2162;3;Jackets
2293;2195;3;ZIP Hoodies
2294;2195;3;Hoodies
2295;2146;2;Caps
2296;2299;2;Caps
2297;2142;2;Kids
2298;2180;3;T-shirts
2299;0;1;Miss Tee
2300;2141;2;Kids
2301;2162;3;Windbreaker
2302;2162;3;Tanktops
2303;2161;3;Longsleeves & Crewnecks
2304;2162;3;Bodys
2305;2143;2;Jackets
2306;2299;2;Tank Tops
2307;2146;2;Tank Tops
2308;0;1;Schlappos
2309;0;1;AMK
2310;0;1;Top seller
